TranID	ProdID	Qty	Price	Subtotal	
1	51	1	1840000	1840000
3	36	5	7490000	37450000
2	3	10	2840000	28400000
4	34	1	6920000	6920000
4	58	5	3680000	18400000
7	31	7	8290000	58030000
1	55	8	7110000	56880000
5	24	2	6750000	13500000
5	8	9	9900000	89100000
10	43	1	5700000	5700000
4	60	2	8330000	16660000
9	21	3	8030000	24090000
8	58	3	7330000	21990000
9	45	8	9850000	78800000
5	55	5	9160000	45800000
10	56	9	6420000	57780000
6	33	10	2500000	25000000
4	35	6	6270000	37620000
10	18	4	5900000	23600000
1	49	3	7390000	22170000
